url,genes,len
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,"rps16,ORF51",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,"rpl22,rps3",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=263836,"trnI(cau),rpl23,rpl2,rps19,rpl22,rps3,rpl16,rpl14,rps8,infA,rpl36,rps11,rpoA,petD,petB,psbH,psbN,psbT,psbB,clpP,rps12,rps12,rpl20,rps18,rpl33,psaJ,trnP(ugg),trnW(cca),petG,petL,psbE,psbF,psbL,psbJ,petA,cemA,ycf4,psaI,accD,trnR(ccg),rbcL,atpB,atpE,trnMe(cau),trnV(uac),ndhC,ndhK,ndhJ,trnF(gaa),trnL(uaa),trnT(ugu),rps4,trnS(gga),ycf3,psaA,psaB,rps14,trnMf(cau),trnG(gcc),psbZ,trnS(uga),psbC,psbD,trnT(ggu),cysA,trnE(uuc),trnY(gua),trnD(guc),ftsH,trnH(gug),psbA,trnK(uuu),matK,rps16,chlB,trnQ(uug),psbK,trnS(cga),psbI,trnS(gcu),psaM,ycf12,trnG(ucc),trnR(ucu),atpA,atpF,atpH,atpI,rps2,rpoC2,rpoC1,rpoB,trnC(gca),petN,psbM,trnL(caa),ndhB,rps7,trnV(gac),rrs,trnI(gau),trnA(ugc),rrl,rrf,trnR(acg),trnN(guu),chlL,chlN,ycf1,ndhH,ndhA,ndhI,ndhG,ndhE,psaC,ndhD,ccsA,trnL(uag),trnP(ggg),cysT,rpl32,rpl21,ndhF,trnN(guu),trnR(acg),rrf,rrl,trnA(ugc),trnI(gau),rrs,trnV(gac)",131
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,atpH,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,"psbT,psbN,ORF27,psbH",4
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,rpl14,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,"ndhC,ndhK",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,psbI,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,petB,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,"rpl21,rpl32",2
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,ndhD,1
https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=48387,psbK,1
