value	count
rps12	37
ndhB	21
rps7	18
ycf3	15
clpP	15
rps16	14
rpoC1	13
rpl2	13
rpl16	13
petD	13
petB	13
ndhA	13
atpF	13
rps3	12
rps19	12
rpoB	12
rpl23	12
rpl22	12
ndhK	12
ndhJ	12
atpB	12
ycf4	11
ycf12	11
rps8	11
rps4	11
rps2	11
rps18	11
rps14	11
rps11	11
rpoC2	11
rpoA	11
rpl36	11
rpl33	11
rpl32	11
rpl21	11
rpl20	11
rpl14	11
rbcL	11
psbZ	11
psbT	11
psbN	11
psbM	11
psbL	11
psbK	11
psbJ	11
psbI	11
psbH	11
psbF	11
psbE	11
psbD	11
psbC	11
psbB	11
psbA	11
psaM	11
psaJ	11
psaI	11
psaC	11
psaB	11
psaA	11
petN	11
petL	11
petG	11
petA	11
ndhI	11
ndhH	11
ndhG	11
ndhF	11
ndhE	11
ndhD	11
ndhC	11
infA	11
cysA	11
chlN	11
chlL	11
chlB	11
ccsA	11
atpI	11
atpH	11
atpE	11
atpA	11
accD	11
ORF51	10
ycf2	9
matK	9
ORF473	7
ORF1031	7
ycf10	6
ORF288	6
rrs	5
rrl	5
rrf	5
cysT	5
cemA	5
rps15	4
ycf1	3
ORF27	3
ftsH	2
