value	count
trnI	29
trnR	28
trnV	25
trnL	25
rrn23	25
trnA	22
trnS	21
trnG	18
rrn5	17
rrn4.5	17
rrn16	17
trnT	14
trnP	14
trnN	14
trnK	12
trnC	8
trnfM	7
trnY	7
trnW	7
trnQ	7
trnM	7
trnH	7
trnF	7
trnE	7
trnD	7
trnR(acg)	5
trnI(gau)	5
trnA(ugc)	5
trnV(gac)	4
trnN(guu)	4
trnS(cga)	3
trnY(gua)	2
trnW(cca)	2
trnV-GAC	2
trnV(uac)	2
trnT(ugu)	2
trnT(ggu)	2
trnS(uga)	2
trnS(gga)	2
trnS(gcu)	2
trnR-ACG	2
trnR(ucu)	2
trnR(ccg)	2
trnQ(uug)	2
trnP(ugg)	2
trnP(ggg)	2
trnN-GUU	2
trnMf(cau)	2
trnMe(cau)	2
trnL(uag)	2
trnL(uaa)	2
trnL(caa)	2
trnK(uuu)	2
trnI-GAU	2
trnI(cau)	2
trnH(gug)	2
trnG(ucc)	2
trnG(gcc)	2
trnF(gaa)	2
trnE(uuc)	2
trnD(guc)	2
trnC(gca)	2
trnA-UGC	2
trnY-GUA	1
trnW-CCA	1
trnV-UAC	1
trnT-UGU	1
trnT-GGU	1
trnS-UGA	1
trnS-GGA	1
trnS-GCU	1
trnS-CGA	1
trnR-UCU	1
trnR-CCG	1
trnQ-UUG	1
trnP-UGG	1
trnP-GGG	1
trnMf-CAU	1
trnM-CAU	1
trnL-UAG	1
trnL-UAA	1
trnL-CAA	1
trnK-UUU	1
trnI-CAU	1
trnH-GUG	1
trnG-UCC	1
trnG-GCC	1
trnF-GAA	1
trnE-UUC	1
trnD-GUC	1
trnC-GCA	1
