value	count
rps12	214
rps11	142
psbA	131
petD	130
rpoB	127
clpP	115
atpF	115
ndhB	113
chlN	113
psbD	112
rps8	111
rps7	111
rps4	111
rps3	111
rps2	111
rps19	111
rps18	111
rpl36	111
rpl33	111
rpl32	111
rpl23	111
rpl22	111
rpl20	111
rpl14	111
rbcL	111
psbZ	111
psbT	111
psbM	111
psbL	111
psbJ	111
psbH	111
psbF	111
psbE	111
psbC	111
psbB	111
psaJ	111
psaC	111
psaB	111
psaA	111
petG	111
petB	111
ndhJ	111
ndhE	111
ndhD	111
ndhC	111
ndhA	111
infA	111
chlB	111
atpE	111
atpB	111
atpA	111
rpl2	110
atpH	110
rps14	109
rpl21	109
psaI	109
ndhI	109
atpI	109
accD	109
petL	108
petA	108
rpoC2	107
rpoC1	107
rpl16	107
psbI	107
ndhK	107
ndhH	107
psbK	106
ndhF	106
psaM	105
rps15	104
chlL	101
cemA	101
ycf3	94
ndhG	92
ycf1	90
matK	90
ycf66	89
ycf4	89
ycf2	89
psbN	88
ycf12	84
psb30	26
rpoA	25
pbf1	23
petN	20
ccsA	12
tufA	9
rn5	8
orf40	8
orf197	6
cysT	5
rps16	4
PsbK	4
3' rps12	4
cysA	3
ycf10(cemA)	2
ycf10	2
truV-UAC	2
psbl	2
psal	2
ndhl	2
ndhk	2
atpl	2
PsbI	2
ORF51	2
ORF27	2
ORF214	2
CemA	2
AccD	2
5'rps12	2
ORF232	1
5S	1
4.5S	1
23S	1
