value	count
rps12	1317
ndhB	674
rps7	672
rpl23	663
rpl2	649
ycf2	627
ycf1	520
rps19	466
rps15	383
psbA	370
rps3	357
rpl16	356
ndhH	356
rbcL	354
ndhA	354
rpl14	351
rps8	350
psaC	350
rps14	349
rps11	349
psbB	349
psaI	349
ccsA	349
petA	348
ndhF	348
atpF	348
rps4	347
rpl36	347
rpl20	347
psbT	347
psbM	347
psbI	347
psbH	347
psbF	347
psbE	347
psbD	347
psbC	347
psaJ	347
psaB	347
psaA	347
petG	347
ndhG	347
rpoC1	346
rpoB	346
psbJ	346
petN	346
ndhE	346
matK	346
cemA	346
atpI	346
atpE	346
atpB	346
atpA	346
rps2	345
rpl33	345
psbK	345
petD	345
rpoC2	344
petL	344
ndhI	344
ndhD	344
atpH	344
rps18	343
ndhJ	342
rpoA	341
petB	341
ndhC	340
clpP	337
ycf4	336
ycf3	336
psbZ	335
rpl32	332
rpl22	332
psbL	329
rps16	327
ndhK	324
accD	323
psbN	321
ycf15	265
infA	238
ycf68	48
pbf1	22
orf77	18
orf42	16
psbG	15
clpP1	15
lhbA	11
pafII	10
pafI	10
ORF113	8
rpoc1	6
rpl18	3
orf188	3
23S rRNA	3
rsp19	2
rps12a	2
rpoC	2
rbcl	2
orf70	2
orf56	2
null	2
ycf9	1
ycf7	1
ycf6	1
ycf10/cemA	1
sprA	1
rpl336	1
ribulose-1%2C5-bisphosphate carboxylase/oxygenase large subunit	1
psi	1
psbk	1
psbA-fragment	1
orf88	1
orf138	1
orf109	1
ndHI	1
matk	1
clpp	1
Ycf1	1
PsbZ	1
ORF31	1
ATPI	1
ATPH	1
ATPF	1
ATPE	1
ATPB	1
ATPA	1
