value	count
trnN-GUU	604
trnA-UGC	598
trnV-GAC	595
trnI-CAU	593
trnR-ACG	592
trnL-CAA	592
trnI-GAU	561
rrn16	518
rrn23	512
rrn5	507
rrn4.5	505
trnM-CAU	386
trnH-GUG	368
trnS-GCU	316
trnE-UUC	306
trnL-UAG	304
trnF-GAA	303
trnC-GCA	303
trnY-GUA	302
trnW-CCA	302
trnT-GGU	302
trnD-GUC	301
trnQ-UUG	300
trnP-UGG	300
trnT-UGU	299
trnR-UCU	299
trnL-UAA	299
trnfM-CAU	298
trnS-UGA	298
trnK-UUU	297
trnV-UAC	288
trnG-GCC	285
trnS-GGA	284
trnG-UCC	271
rrn5S	113
rrn23S	112
rrn4.5S	103
rrn16S	102
trnI	60
trnL	46
trnS	40
trnV	39
trnR	39
trnG	34
trnT	28
trnH	26
trnA	26
trnN	24
trnM	23
trnI-AUC	21
trnV-GUC	20
trnR-CGU	20
trnP-GGG	20
trnN-AAC	20
trnL-UUG	20
trnK	20
trnA-GCA	20
trnW	15
trnE	13
trnY	12
trnQ	12
trnP	12
trnI_CAU	12
trnF	12
trnD	12
trnC	12
trnfM-AUG	10
trnfM	10
trnY-UAC	10
trnW-UGG	10
trnV-GUA	10
trnV(GAC)	10
trnT-ACC	10
trnT-ACA	10
trnS-UCC	10
trnS-UCA	10
trnS-CGA	10
trnS-AGC	10
trnR-AGA	10
trnR(ACG)	10
trnQ-CAA	10
trnP-CCA	10
trnM-AUG	10
trnL-UUA	10
trnL-CUA	10
trnL(CAA)	10
trnK-AAA	10
trnH-CAC	10
trnG-GGC	10
trnG-GGA	10
trnF-UUC	10
trnE-GAA	10
trnD-GAC	10
trnC-UGC	10
trnV_GAC	8
trnR_ACG	8
trnN_GUU	8
trnN(GUU)	8
trnM(CAU)	8
trnL_CAA	8
trnI_GAU	8
trnI(GAU)	8
trnH_GUG	8
trnG(GCC)	8
trnA_UGC	8
trnA(UGC)	8
trnL_UAA	6
trnI(CAU)	6
trnW(CCA)	5
trnS(GGA)	5
trnM_CAU	5
trnL(UAA)	5
trnF(GAA)	5
trnC(GCA)	5
trnfM_CAU	4
trnfM(CAU)	4
trnY_GUA	4
trnY(GUA)	4
trnW_CCA	4
trnV_UAC	4
trnT_UGU	4
trnT_GGU	4
trnT-CGU	4
trnS_UGA	4
trnS_GGA	4
trnS_GCU	4
trnS(UGA)	4
trnS(GCU)	4
trnR_UCU	4
trnQ_UUG	4
trnQ(UUG)	4
trnP_UGG	4
trnP(UGG)	4
trnN-GTT	4
trnM(CAT)	4
trnL_UAG	4
trnL(UAG)	4
trnI-CAT	4
trnG_UCC	4
trnG_GCC	4
trnF_GAA	4
trnE_UUC	4
trnE(UUC)	4
trnD_GUC	4
trnD(GUC)	4
trnC_GCA	4
trnfM-CAT	3
trnT(UGU)	3
trnR(acg)	3
trnC-ACA	3
trnY-GTA	2
trnV(gac)	2
trnV(UAC)	2
trnT-TGT	2
trnT-GGT	2
trnT(GGU)	2
trnS-TGA	2
trnS-GGU	2
trnS-GCT	2
trnS-GAA	2
trnR-TCT	2
trnR(UCU)	2
trnQ-TTG	2
trnP-TGG	2
trnN(guu)	2
trnN(GTT)	2
trnM-CAT	2
trnL-TAG	2
trnL(caa)	2
trnI-GUA	2
trnI(cau)	2
trnI(GAT)	2
trnI GAU	2
trnH-GTG	2
trnH(gug)	2
trnH(GUG)	2
trnH(CAU)	2
trnH (CAU)	2
trnE-TTC	2
trnD-GTC	2
trnA(ugc)	2
trnA(TGC)	2
trns-GGA	1
trnk-UUU	1
trnfM-CAU II	1
trnfM-CAU I	1
trnfM(cau)	1
trnY(gua)	1
trnY(GTA)	1
trnW(cca)	1
trnV(uac)	1
trnT(ugu)	1
trnT(TGT)	1
trnT(GGT)	1
trnStrnS-UGA	1
trnS-AGA	1
trnS(uga)	1
trnS(gga)	1
trnS(gcu)	1
trnS(TGA)	1
trnS(GCT)	1
trnR(ucu)	1
trnR(TCT)	1
trnQ(uug)	1
trnQ(TTG)	1
trnP-UUG	1
trnP-GAA	1
trnP(ugg)	1
trnP(TGG)	1
trnM(cau)	1
trnL-CAU	1
trnL(uag)	1
trnL(uaa)	1
trnL(TAG)	1
trnL(TAA)	1
trnK(uuu)	1
trnK(UUU)	1
trnII-GAU	1
trnI-AAU	1
trnI(gau)	1
trnH(GTG)	1
trnG-UUC	1
trnG-CGA	1
trnG(ucc)	1
trnG(gcc)	1
trnG(UCC)	1
trnF(gaa)	1
trnF(AAA)	1
trnE(uuc)	1
trnE(TTC)	1
trnD(guc)	1
trnD(GTC)	1
trnC(gca)	1
trnC(ACA)	1
tRNA-fM(CAU)	1
tRNA-Lys	1
rrn5s	1
rrn45	1
