value	count
rps12	168
psbK	115
psbB	114
psbA	114
rps4	109
rpl32	109
petA	109
psbC	100
psbM	99
rbcL	97
matK	95
ndhJ	94
ndhC	91
petL	90
psbD	89
psaB	88
petN	87
rps7	86
rpoC1	85
petD	85
petB	85
ndhF	85
rps8	84
rps3	84
rps2	84
rps19	84
rps14	84
rps11	84
rpl16	84
psbZ	84
psbI	84
atpF	84
rps18	83
rps15	83
rpoC2	83
rpoB	83
rpoA	83
rpl23	83
rpl22	83
rpl20	83
rpl2	83
rpl14	83
psbF	83
psbE	83
psaA	83
infA	83
atpI	83
atpH	83
atpE	83
atpB	83
atpA	83
ycf12	82
rpl33	82
psbT	82
psbN	82
psbL	82
psbJ	82
psbH	82
psaJ	82
petG	82
clpP	82
chlB	82
cemA	82
accD	82
ycf2	81
psaM	81
ndhH	81
ndhG	81
ndhB	81
psaC	80
rpl36	79
rpl21	79
ndhK	79
ndhD	79
chlN	79
chlL	79
ycf66	78
ndhE	78
ndhA	78
ccsA	78
16S	76
cysT	74
ycf1	69
cysA	65
ycf4	62
ycf3	59
ycf68	58
5S	51
4.5S	51
23S	50
psaI	46
ndhI	46
psal	36
ndhl	32
psbl	30
pafI	22
pafII	20
ycf1-2	15
tic214	10
ORF474	10
psbG	4
ndh5	4
ndh4L	4
ndh4	4
ndh3	4
ndh2	4
ndh1	4
frxC	4
frxB	4
frxA	4
ycf (45)	3
ycf	3
ORF464	3
ycf1-1	2
ycf (ORF50)	2
ycf (ORF29)	2
mbpX	2
5S rRNA	2
4.5S rRNA	2
23S rRNA	2
16S rRNA	2
ycf1b	1
ycf1a	1
tatC	1
small single-copy region (SSC)	1
secX	1
sdh4	1
sdh3	1
rtl	1
rps13	1
rps10	1
rps1	1
rpl6	1
rpl5	1
rpl3	1
rpl10	1
orf50	1
orf45	1
orf29	1
nad9	1
nad7	1
nad6	1
nad5	1
nad4L	1
nad4	1
nad3	1
nad2	1
nad1	1
cox3	1
cox2	1
cox1	1
cob	1
ccmFN	1
ccmFC	1
ccmC	1
ccmB	1
atp9	1
atp8	1
atp6	1
atp4	1
atp1	1
TIC214	1
ORF62	1
ORF50	1
ORF29	1
IRB region	1
IRA region	1
